Score,Total Projected Pts,Total Cost,Proj Pts Weight,QB,SP1,SP2,SP3,SP4,SP5,SP6,SP7,D
9.34701,120.7,59800,0.67,daniel jones,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,zach ertz,browns
9.34673,121.4,59900,0.67,dak prescott,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,george pickens,keenan allen,trey mcbride,browns
9.34544,120.7,60000,0.67,jayden daniels,rico dowdle,javonte williams,devon achane,stefon diggs,drake london,keenan allen,travis kelce,chiefs
9.34535,119.8,60000,0.67,daniel jones,rico dowdle,jacory croskeymerritt,javonte williams,george pickens,keenan allen,emeka egbuka,trey mcbride,browns
9.34404,120.2,60000,0.67,justin herbert,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,keenan allen,ladd mcconkey,trey mcbride,browns
9.34359,120.5,59900,0.67,dak prescott,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,ladd mcconkey,sam laporta,browns
9.34346,121.6,60000,0.67,daniel jones,rico dowdle,christian mccaffrey,javonte williams,stefon diggs,keenan allen,ladd mcconkey,trey mcbride,browns
9.34311,120.3,60000,0.67,daniel jones,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,george pickens,keenan allen,sam laporta,browns
9.34291,120.3,60000,0.67,daniel jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,jaylen waddle,zach ertz,browns
9.34252,120.5,59900,0.67,daniel jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,tetairoa mcmillan,zach ertz,browns
9.34247,121.2,59900,0.67,dak prescott,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,keenan allen,sam laporta,browns
9.34166,120.0,60000,0.67,daniel jones,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,tetairoa mcmillan,travis kelce,browns
9.34031,119.8,60000,0.67,justin herbert,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,keenan allen,ladd mcconkey,trey mcbride,packers
